#group	bac.co14.5	bac.co14.4	bac.conps2g.9	bac.co12.6	bac.co14.10	bac.co12g.2	bac.conps1g.3	bac.co14c10	bac.co16.12	bac.co16.1	bac.co12g.3	bac.co14c12	bac.co14c5	bac.co16.11	bac.co14.3	bac.conps2g.1	bac.co16.2	bac.co16.10	bac.co14.2	bac.co12.3	bac.co14c11	bac.co12.12	bac.conps2g.8	bac.co16.4	bac.conps1g.7	bac.co12.1	bac.co12.5	bac.co12g.8	bac.co12.4	bac.co12g.1	bac.co12g.7	bac.co12g.9	bac.co12.11	bac.co14c6	bac.co14.6	bac.conps1g.9	bac.co16.3	bac.co14c4	bac.conps2g.2	bac.conps1g.8	bac.co14.11	bac.co14.12	bac.co12.10	bac.co16.5	bac.co14.1	bac.conps1g.2	bac.co16.6	bac.conps2g.7	bac.co12.2	bac.conps1g.1	bac.conps2g.3
methanotrophy	7	20	44	11	3	13	29	42	98	45	47	44	16	94	1	84	52	7	5	42	4	17	29	7	26	22	21	29	14	43	14	8	19	42	10	13	33	12	34	16	1	10	40	19	18	27	2	44	38	65	43
acetoclastic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_disproportionation_of_methyl_groups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_using_formate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_CO2_reduction_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_reduction_of_methyl_compounds_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrogenotrophic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanol_oxidation	15	36	42	6	3	5	9	0	33	60	25	8	18	11	10	24	49	17	12	9	26	11	0	22	3	19	31	13	27	10	13	8	53	117	16	8	47	65	16	10	2	3	82	5	22	14	11	5	105	30	25
methylotrophy	22	56	86	17	6	18	38	42	131	105	72	48	34	105	11	107	101	24	17	51	30	28	29	29	29	41	52	42	41	53	27	16	72	159	26	21	80	77	49	26	3	13	120	24	38	41	13	49	143	95	68
aerobic_ammonia_oxidation	3	5	1	23	0	1	0	1	4	0	4	10	13	0	17	0	0	37	3	22	45	0	0	1	0	7	5	13	4	4	0	0	0	5	0	0	2	1	1	0	2	65	10	24	2	0	0	0	2	1	0
aerobic_nitrite_oxidation	59	66	51	102	30	51	23	1	160	84	116	46	64	160	43	52	199	120	118	52	37	83	22	308	51	60	80	119	82	278	195	25	135	72	32	14	94	82	45	50	14	58	70	69	23	19	187	81	37	42	20
nitrification	62	71	52	125	30	52	23	2	164	84	120	56	77	160	60	52	199	157	121	74	82	83	22	309	51	67	85	132	86	282	195	25	135	77	32	14	96	83	46	50	16	123	80	93	25	19	187	81	39	43	20
sulfate_respiration	28	35	48	57	32	25	8	14	90	55	60	23	22	97	20	13	75	65	94	25	21	18	21	109	5	12	29	104	24	149	288	49	51	21	25	37	56	30	12	7	1	40	21	16	20	13	85	24	19	13	7
sulfur_respiration	13	42	10	8	10	5	7	0	5	15	16	20	9	7	14	4	23	10	22	11	5	4	1	47	0	3	28	8	6	13	3	3	16	12	26	5	12	11	6	2	8	12	13	0	28	0	52	5	11	4	1
dark_sulfite_oxidation	2	7	4	0	18	2	9	2	2	1	2	0	0	1	13	29	0	53	1	0	25	0	2	10	43	0	0	2	0	1	2	7	0	18	3	0	0	17	25	0	1	4	1	2	2	2	1	6	0	0	22
sulfite_respiration	7	3	21	9	4	0	1	9	48	9	5	3	9	49	3	8	17	19	16	9	5	15	16	43	0	4	17	41	7	119	253	11	21	12	2	18	10	22	4	2	0	11	9	4	9	1	15	5	11	4	3
thiosulfate_respiration	32	48	19	33	30	62	20	5	100	30	55	14	26	93	20	17	51	9	63	20	10	25	2	61	1	21	20	59	38	36	15	95	26	23	50	15	22	29	12	6	14	20	15	22	27	34	44	3	9	14	8
respiration_of_sulfur_compounds	56	76	66	91	61	83	31	15	177	89	121	52	52	177	46	28	132	79	133	48	28	50	24	213	5	37	62	135	65	188	296	136	86	44	71	47	79	40	22	14	15	58	36	38	54	46	171	28	34	25	13
arsenate_detoxification	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenate_respiration	0	0	6	6	4	1	2	0	2	3	1	4	0	2	10	0	2	11	5	1	1	5	0	45	0	2	3	24	8	0	0	0	11	2	1	2	3	2	1	0	0	2	0	0	6	0	49	1	1	0	0
