#OTU ID	co14-2	conps2g-9	co14-5	co12g-7	co16-6	co12g-1	co14c6	co14-4	co14-6	co12g-3	co12-2	conps1g-3	conps2g-8	co12-10	co12-3	co12-6	co12-5	co12-1	co12-4	co14-11	co16-10	co16-2	conps2g-7	co14-12	co12g-8	conps2g-3	co16-3	co16-1	conps2g-1	conps2g-2	conps1g-8	co12-12	co12-11	conps1g-2	co16-5	conps1g-9	conps1g-1	co14c11	PC-fungal	co16-12	co16-4	co16-11	conps1g-7	co14-3	co14c4	co14c5	co14-10	co14-1	co12g-2	co14c12	co14c10	co12g-9	NC-fungal	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
denovo2908	0.0	306.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	4.0	98.0	0.0	5.0	0.0	1507.0	3.0	0.0	0.0	0.0	0.0	0.0	310.0	0.0	0.0	0.0	0.0	0.0	1238.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	311.0	0.0	259.0	1619.0	0.0	0.0	0.0	2.0	0.0	0.0	1398.0	3392.0	0.0	2.0	d__Plantae(0.7400);p__Basidiomycota(0.1300);c__Agaricomycetes(0.1200);o__Agaricales(0.0800);f__Psathyrellaceae(0.0300);g__Quercus(0.0300);s__Lopadostoma_americanum_SH013852.07FU(0.0100)	Lopadostoma	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
denovo70	13.0	204.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	21.0	1328.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1035.0	0.0	1387.0	130.0	1.0	7.0	340.0	186.0	1522.0	0.0	3.0	0.0	0.0	1270.0	623.0	0.0	4.0	123.0	0.0	99.0	1418.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	1.0	d__Fungi(1.0000);p__Rozellomycota(0.9700)	-	-	-	-	-	-	-	Unassigned	-
denovo3306	52.0	4.0	0.0	44.0	0.0	20.0	1068.0	0.0	0.0	29.0	23.0	65.0	2.0	2369.0	1314.0	10.0	848.0	94.0	180.0	9.0	0.0	3.0	3.0	0.0	4.0	0.0	0.0	0.0	16.0	2.0	0.0	200.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	12.0	0.0	13.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	d__Fungi(1.0000);p__Basidiomycota(1.0000);c__Agaricomycetes(1.0000);o__Agaricales(1.0000);f__Lycoperdaceae(0.6400);g__Bovista(0.5700);s__Bovista_plumbea_SH175886.07FU(0.1300)	Bovista	13	Saprotroph	Soil Saprotroph	Probable	Gasteroid	NULL	Common name - puffball	Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; Tedersoo L, et al. 2014. Science 346:1256688
denovo793	3.0	0.0	98.0	0.0	0.0	434.0	319.0	32.0	440.0	231.0	39.0	1116.0	0.0	3.0	0.0	3.0	0.0	0.0	3.0	1022.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	16.0	72.0	34.0	0.0	0.0	1899.0	0.0	196.0	182.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	d__Rhizaria(0.8700);p__Cercozoa(0.8700)	-	-	-	-	-	-	-	Unassigned	-
denovo845	0.0	0.0	0.0	1149.0	0.0	455.0	0.0	0.0	0.0	67.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	0.0	0.0	15.0	0.0	0.0	0.0	205.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2744.0	0.0	0.0	584.0	0.0	d__Fungi(1.0000);p__Mucoromycota(0.9200);c__Umbelopsidomycetes(0.9200);o__Umbelopsidales(0.9200);f__Umbelopsidaceae(0.9200);g__Umbelopsis(0.9200);s__Umbelopsis_dimorpha_SH196089.07FU(0.9200)	Umbelopsis	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)
denovo64	2813.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	39.0	1.0	0.0	0.0	0.0	2.0	951.0	2.0	23.0	41.0	168.0	0.0	1.0	0.0	0.0	0.0	173.0	102.0	0.0	0.0	559.0	3.0	0.0	0.0	52.0	0.0	42.0	0.0	0.0	142.0	77.0	0.0	0.0	154.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	9.0	2.0	1.0	0.0	d__Plantae(1.0000);p__Angiosperms(1.0000);c__Monocots(1.0000);o__Asparagales(1.0000);f__Orchidaceae(1.0000);g__Piperia(0.9200);s__elegans(0.8400)	-	-	-	-	-	-	-	Unassigned	-
denovo3087	3.0	0.0	152.0	0.0	0.0	53.0	120.0	623.0	139.0	845.0	3.0	132.0	1.0	3.0	1.0	2.0	1.0	0.0	0.0	366.0	0.0	2.0	3.0	0.0	0.0	3.0	0.0	6.0	2.0	45.0	9.0	0.0	4.0	141.0	0.0	80.0	172.0	0.0	0.0	0.0	0.0	0.0	11.0	4.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	d__Rhizaria(0.7500);p__Cercozoa(0.7500)	-	-	-	-	-	-	-	Unassigned	-
denovo2921	52.0	14.0	1.0	343.0	49.0	156.0	58.0	1.0	1.0	350.0	39.0	17.0	5.0	2.0	160.0	1.0	3.0	230.0	214.0	0.0	0.0	26.0	366.0	0.0	94.0	1.0	1.0	6.0	102.0	14.0	5.0	122.0	62.0	41.0	0.0	32.0	29.0	1.0	0.0	25.0	65.0	15.0	0.0	0.0	31.0	3.0	0.0	0.0	90.0	54.0	0.0	3.0	1.0	d__Fungi(1.0000);p__Basidiomycota(1.0000);c__Tremellomycetes(1.0000);o__Filobasidiales(1.0000);f__Piskurozymaceae(1.0000);g__Solicoccozyma(1.0000);s__Solicoccozyma_phenolica_SH357827.07FU(0.4500)	-	-	-	-	-	-	-	Unassigned	-
denovo1837	1053.0	3.0	2.0	0.0	37.0	0.0	0.0	224.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	703.0	0.0	0.0	18.0	3.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	306.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	d__Fungi(1.0000);p__Basidiomycota(1.0000);c__Agaricomycetes(1.0000)	-	-	-	-	-	-	-	Unassigned	-
denovo2489	2.0	0.0	2055.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	d__Fungi(1.0000);p__Basidiomycota(0.9900);c__Agaricomycetes(0.9900);o__Agaricales(0.9900);f__Strophariaceae(0.9300);g__Stropharia(0.8700);s__Stropharia_hornemannii_SH177497.07FU(0.3500)	Stropharia	13	Saprotroph	Undefined Saprotroph	Probable	NULL	NULL	NULL	Tedersoo L, et al. 2014. Science 346:1256688
